Equipment Type,Equipment Name,Equipment Description
Aircrafts,Be-350 King Air,"The BE-350 King Air is used for passenger transport and pilotproficiency missions. These leased aircraft are primarily used by new pilots to gain valuable air mobility–operations experience before being posted to an operational squadron in Canada.
The BE-350 King Air provides flexible transport services for Royal Canadian Air Force personnel and light cargo."
Aircrafts,Bell 412CF,"The Bell 412CF provides the second level of helicopter training in the Royal Canadian Air Force prior to trainees earning their wings. With glass cockpit displays, a flight management system and a weather radar, the Bell 412CF will prepare pilots for their future flying operations on the CH-146 Griffon, CH-147F Chinook, CH-148 Cyclone or CH-149 Cormorant."
Aircrafts,CF-188 Hornet,"The CF-188 Hornet, commonly called the CF-18, is a multi-role fighter aircraft. It is used for air defence, air superiority, ground attack, tactical support, training, aerobatic demonstration, and aerospace testing and evaluation.
The Hornet is a fast, light and manoeuvrable aircraft. Because of its power, speed and target-tracking capabilities, it has had great success in many military operations in Canada and around the world.
The CF-188 Hornet, commonly called the CF-18, is a multi-role fighter aircraft. It is used for air defence, air superiority, ground attack, tactical support, training, aerobatic demonstration, and aerospace testing and evaluation.
The Hornet is a fast, light and manoeuvrable aircraft. Because of its power, speed and target-tracking capabilities, it has had great success in many military operations in Canada and around the world."
Aircrafts,CC-130J Hercules,"The CC-130J Hercules tactical airlifter is used for a wide range of missions, including troop transport, tactical airlift and aircrew training.
It can land and airdrop heavy loads of equipment, supplies and personnel into hostile environments. The J?model Hercules can operate from unpaved airstrips in active operations and carry up to 92 fully equipped paratroopers or 128 passengers.
The J?model is the newest Hercules model flown by the Royal Canadian Air Force."
Aircrafts,CC-138 Twin Otter,"The CC-138 Twin Otter is used in transport and support roles in northern operations as well as search and rescue missions. It is highly adaptable and well suited to Canada’s ever-changing northern climate and terrain.
The Twin Otter is a short take-off and landing utility-transport aircraft. It can be outfitted with wheels or skis for landing on ground, snow and ice."
Aircrafts,CC-144 Challenger,"The CC-144 Challenger is used to transport government officials and foreign dignitaries. It also supports military operations in Canada and around the world.
The Challenger can quickly deliver passengers almost anywhere. Some of the Royal Canadian Air Force’s Challengers are equipped to support emergency medical evacuations. They also have successfully supported many humanitarian and diplomatic missions."
Aircrafts,CC-150 Polaris,"The CC-150 Polaris is a multi-purpose, long-range aircraft used for military-passenger, freight or medical transport. Two of the Royal Canadian Air Force’s CC-150s are equipped for air-to-air refuelling, and each can carry enough fuel to ferry four CF-188 Hornet fighter aircraft across the Atlantic Ocean.
The Polaris can also transport government officials and foreign dignitaries. It has carried the Prime Minister, Governor General and members of the Royal Family."
Aircrafts,CC-177 Globemaster III,"The CC-177 Globemaster III strategic airlifter transports troops, cargo and oversized combat equipment. Rapid, reliable and flexible, it is equipped with advanced digital avionics.
The Globemaster can fly long distances and land in remote airfields, making it a premier transporter for military, humanitarian and peacekeeping missions. One of these aircraft can haul three CH-146 Griffon helicopters with refuelling tanks, or up to 102 paratroopers."
Aircrafts,CC-295 Kingfisher,"Canada’s new search and rescue CC-295 fleet will be composed of modern, proven aircraft that will allow the RCAF to conduct more effective search and rescue missions in all weather conditions, including reduced visibility, at long range.
The RCAF will operate the new fixed-wing fleet from 19 Wing Comox, 17 Wing Winnipeg, 8 Wing Trenton, and 14 Wing Greenwood; the same locations currently providing search and rescue services across the country. RCAF search and rescue aircraft and personnel are located where they can effectively respond to search and rescue incidents in all regions of Canada, considering factors such as the historical distribution of incidents, aircraft performance, and the co-location of forces with supporting infrastructure."
Aircrafts,CH-139 Jet Ranger,"The CH-139 Jet Ranger is a single-engine trainer used to help Royal Canadian Air Force helicopter trainees earn their wings. It has side-byside pilot seating with flight controls and doors at both positions that are easily accessible to the pilot and trainer.
The passenger/cargo compartment is located immediately behind the cockpit, providing seating for three passengers or space for cargo."
Aircrafts,CH-146 Griffon,"The CH-146 Griffon utility tactical-transport helicopter supports the tactical transportation of troops and materiel as well as search and rescue operations, surveillance and reconnaissance, training, casualty evacuations and counter-drug operations.
The Griffon features GPS-satellite navigation and Doppler-radar systems. It can also be fitted with a variety of equipment, including self-defence weapons, a powerful searchlight, and a hoist to extract people and cargo from almost any terrain."
